"time","data"
"05:30:06","142876.19"
"05:30:17","142802.55"
"05:30:28","142811.89"
"05:30:39","142831.88"
"05:30:50","142809.53"
"05:31:01","142811.34"
"05:31:12","142822.52"
"05:31:23","142825.25"
"05:31:34","142738.52"
"05:31:45","142792.77"
"05:31:56","142781.06"
"05:32:07","142797.45"
"05:32:18","142799.31"
"05:32:29","142749.65"
"05:32:40","142776.01"
"05:32:51","142773.93"
"05:33:02","142769.56"
"05:33:13","142743.36"
"05:33:24","142791.94"
"05:33:35","142751.58"
"05:33:46","142779.44"
"05:33:57","142782.74"
"05:34:08","142787.09"
"05:34:19","142722.16"
"05:34:30","142671.74"
"05:34:41","142722.12"
"05:34:52","142694.68"
"05:35:03","142710.84"
"05:35:14","142679.69"
"05:35:25","142714.26"
"05:35:36","142683.37"
"05:35:47","142670.49"
"05:35:58","142655.12"
"05:36:09","142677.42"
"05:36:20","142616.83"
"05:36:31","142631.87"
"05:36:42","142621.43"
"05:36:53","142616.27"
"05:37:04","142594.22"
"05:37:15","142578.06"
"05:37:26","142557.18"
"05:37:37","142591.45"
"05:37:48","142573.43"
"05:37:59","142565.88"
"05:38:10","142534.64"
"05:38:21","142573.26"
"05:38:32","142546.27"
"05:38:43","142560.12"
"05:38:54","142623.74"
"05:39:05","142578.44"
"05:39:16","142613.32"
"05:39:27","142612.58"
"05:39:38","142586.14"
"05:39:49","142664.73"
"05:40:00","142660.96"
"05:40:11","142707.60"
"05:40:22","142700.91"
"05:40:33","142705.06"
"05:40:44","142686.10"
"05:40:55","142714.55"
"05:41:06","142764.95"
"05:41:17","142705.34"
"05:41:28","142705.21"
"05:41:39","142738.47"
"05:41:50","142788.60"
"05:42:01","142753.66"
"05:42:12","142760.64"
"05:42:23","142771.48"
"05:42:34","142728.71"
"05:42:45","142735.40"
"05:42:56","142719.86"
"05:43:07","142729.42"
"05:43:18","142733.14"
"05:43:29","142719.84"
"05:43:40","142744.72"
"05:43:51","142730.80"
"05:44:02","142760.20"
"05:44:13","142701.73"
"05:44:24","142687.99"
"05:44:35","142706.75"
"05:44:46","142714.82"
"05:44:57","142702.18"
"05:45:08","142713.56"
"05:45:19","142740.82"
"05:45:30","142711.34"
"05:45:41","142686.45"
"05:45:52","142714.10"
"05:46:03","142702.46"
"05:46:14","142709.71"
"05:46:25","142679.97"
"05:46:36","142723.17"
"05:46:47","142774.44"
"05:46:58","142828.38"
"05:47:09","142851.91"
"05:47:20","142843.17"
"05:47:31","142829.44"
"05:47:42","142816.20"
"05:47:53","142946.41"
"05:48:04","143001.82"
"05:48:15","143021.26"
"05:48:26","143045.69"
"05:48:37","143117.56"
"05:48:48","143137.35"
"05:48:59","143133.85"
"05:49:10","143154.62"
"05:49:21","143236.12"
"05:49:32","143235.34"
"05:49:43","143246.96"
"05:49:54","143319.24"
"05:50:05","143362.41"
"05:50:16","143372.99"
"05:50:27","143347.06"
"05:50:38","143378.42"
"05:50:49","143457.36"
"05:51:00","143462.36"
"05:51:11","143427.71"
"05:51:22","143429.66"
"05:51:33","143367.91"
"05:51:44","143332.15"
"05:51:55","143341.07"
"05:52:06","143333.37"
"05:52:17","143283.54"
"05:52:28","143243.94"
"05:52:39","143231.88"
"05:52:50","143177.25"
"05:53:01","143169.17"
"05:53:12","143247.78"
"05:53:23","143318.27"
"05:53:34","143303.14"
"05:53:45","143346.49"
"05:53:56","143372.97"
"05:54:07","143450.72"
"05:54:18","143442.81"
"05:54:29","143415.15"
"05:54:40","143473.71"
"05:54:51","143466.54"
"05:55:02","143509.31"
"05:55:13","143463.55"
"05:55:24","143463.23"
"05:55:35","143501.21"
"05:55:46","143504.83"
"05:55:57","143560.56"
"05:56:08","143573.04"
"05:56:19","143601.96"
"05:56:30","143618.06"
"05:56:41","143594.89"
"05:56:52","143639.72"
"05:57:03","143657.60"
"05:57:14","143649.90"
"05:57:25","143660.54"
"05:57:36","143680.81"
"05:57:47","143682.09"
"05:57:58","143681.95"
"05:58:09","143644.70"
"05:58:20","143662.60"
"05:58:31","143737.78"
"05:58:42","143742.90"
"05:58:53","143795.75"
"05:59:04","143818.62"
"05:59:15","143804.53"
"05:59:26","143786.63"
"05:59:37","143808.65"
"05:59:48","143770.76"
"05:59:59","143673.76"
