"time","data"
"01:00:00","347116.19"
"01:00:11","347169.00"
"01:00:22","347145.83"
"01:00:33","347167.94"
"01:00:44","347185.53"
"01:00:55","347187.67"
"01:01:06","347198.87"
"01:01:17","347179.58"
"01:01:28","347157.74"
"01:01:39","347099.72"
"01:01:50","347114.17"
"01:02:01","347118.83"
"01:02:12","347082.43"
"01:02:23","347102.98"
"01:02:34","347092.74"
"01:02:45","347075.14"
"01:02:56","347083.32"
"01:03:07","347081.41"
"01:03:18","347066.19"
"01:03:29","347128.23"
"01:03:40","347103.04"
"01:03:51","347108.10"
"01:04:02","347146.30"
"01:04:13","347177.94"
"01:04:24","347232.26"
"01:04:35","347171.02"
"01:04:46","347138.48"
"01:04:57","347144.24"
"01:05:08","347078.44"
"01:05:19","347153.77"
"01:05:30","347102.30"
"01:05:41","347098.03"
"01:05:52","347130.25"
"01:06:03","347150.63"
"01:06:14","347221.31"
"01:06:25","347454.93"
"01:06:36","347632.04"
"01:06:47","347651.62"
"01:06:58","347689.38"
"01:07:09","347712.37"
"01:07:20","347724.34"
"01:07:31","347734.38"
"01:07:42","347787.97"
"01:07:53","347879.00"
"01:08:04","347937.92"
"01:08:15","347954.97"
"01:08:26","348003.83"
"01:08:37","348003.45"
"01:08:48","347988.23"
"01:08:59","348037.54"
"01:09:10","348031.39"
"01:09:21","348028.88"
"01:09:32","348010.18"
"01:09:43","348094.94"
"01:09:54","348092.52"
"01:10:05","348047.40"
"01:10:16","348002.56"
"01:10:27","347991.07"
"01:10:38","347992.11"
"01:10:49","347966.96"
"01:11:00","347928.20"
"01:11:11","347887.79"
"01:11:22","347899.62"
"01:11:33","347859.36"
"01:11:44","347879.56"
"01:11:55","347877.24"
"01:12:06","347919.29"
"01:12:17","347913.18"
"01:12:28","347910.52"
"01:12:39","347954.74"
"01:12:50","347951.98"
"01:13:01","347948.12"
"01:13:12","347962.54"
"01:13:23","347932.25"
"01:13:34","347979.19"
"01:13:45","347969.96"
"01:13:56","347993.39"
"01:14:07","348054.23"
"01:14:18","348016.40"
"01:14:29","347990.56"
"01:14:40","347952.77"
"01:14:51","347986.81"
"01:15:02","348080.73"
"01:15:13","348147.79"
"01:15:24","348186.02"
"01:15:35","348231.01"
"01:15:46","348241.91"
"01:15:57","348246.93"
"01:16:08","348272.62"
"01:16:19","348326.03"
"01:16:30","348336.38"
"01:16:41","348386.69"
"01:16:52","348524.06"
"01:17:03","348503.64"
"01:17:14","348458.57"
"01:17:25","348383.95"
"01:17:36","348340.92"
"01:17:47","348417.68"
"01:17:58","348493.45"
"01:18:09","348607.59"
"01:18:20","348697.74"
"01:18:31","348746.58"
"01:18:42","348851.48"
"01:18:53","349031.97"
"01:19:04","349108.29"
"01:19:15","349239.94"
"01:19:26","349421.60"
"01:19:37","349638.83"
"01:19:48","349736.34"
"01:19:59","349901.17"
"01:20:10","350027.43"
"01:20:21","350033.54"
"01:20:32","350116.25"
"01:20:43","350039.12"
"01:20:54","350095.19"
"01:21:05","350035.28"
"01:21:16","349974.38"
"01:21:27","349935.62"
"01:21:38","349913.03"
"01:21:49","349909.34"
"01:22:00","349881.11"
"01:22:11","349852.36"
"01:22:22","349820.19"
"01:22:33","349768.52"
"01:22:44","349763.27"
"01:22:55","349716.14"
"01:23:06","349693.11"
"01:23:17","349691.69"
"01:23:28","349619.52"
"01:23:39","349570.23"
"01:23:50","349537.31"
"01:24:01","349497.03"
"01:24:12","349478.45"
"01:24:23","349422.79"
"01:24:34","349378.87"
"01:24:45","349318.71"
"01:24:56","349251.67"
"01:25:07","349212.42"
"01:25:18","349169.93"
"01:25:29","349098.20"
"01:25:40","349121.30"
"01:25:51","349065.94"
"01:26:02","349019.72"
"01:26:13","349004.62"
"01:26:24","348988.90"
"01:26:35","348915.20"
"01:26:46","348856.11"
"01:26:57","348906.41"
"01:27:08","348850.47"
"01:27:19","348804.29"
"01:27:30","348827.98"
"01:27:41","348811.56"
"01:27:52","348798.19"
"01:28:03","348782.93"
"01:28:14","348776.87"
"01:28:25","348728.00"
"01:28:36","348622.35"
"01:28:47","348612.87"
"01:28:58","348576.27"
"01:29:09","348603.86"
"01:29:20","348588.57"
"01:29:31","348581.69"
"01:29:42","348586.28"
"01:29:53","348561.87"
